query,site,type,notes,status,top_names,top_categories,top_ids,top_scores,total_results,latency_ms,error
prosecco ro,Store F,open,Latin multi-word,ok,Вино игристое prosecco «Prosecco Alto» 1 | Вино игристое prosecco «Prosecco Alto» 7 | Вино игристое rose «Prosecco Alto» 1500м,Алкоголь | Алкоголь | Алкоголь,P0110 | P0183 | P0292,59.7 | 59.7 | 59.1,5,21.0,
джин то,Store F,open,Cocktail ingredient,ok,Джин премиальный grapefruit «Nordic Gin» | Джин премиальный grapefruit «Nordic Gin» | Джин премиальный grapefruit «Garage Barr,Алкоголь | Алкоголь | Алкоголь,P0083 | P0095 | P0560,38.0 | 38.0 | 38.0,5,9.1,
хозяйст мыло,Store D,open,Household goods,ok,,,,,0,16.9,
power bank 20,Store E,open,Numeric suffix,ok,Power Bank 20000mAh «PowerStack» 1шт | Power Bank 20000mAh «HyperCell» 1шт | Power Bank 20000mAh «VoltEdge» 1шт,Электроника | Электроника | Электроника,P0714 | P0122 | P0197,86.9 | 81.4 | 81.4,5,11.1,
сыр гауда,Store C,open,Category + brand,ok,Сыр гауда кусок «ChefPro» 2кг | Сыр гауда для сендвичей «ChefPro» 200г | Сыр гауда кусок «Dutch Yard» 200г,Сыры | Сыры | Сыры,P0492 | P0869 | P0026,39.1 | 38.5 | 38.3,5,10.7,
diap night,Store D,open,Latin shortcut for diapers,ok,Подгузники детские premium «Huggsy» 26шт | Подгузники детские для чувствительной ко | Подгузники детские premium «EcoBaby» 40ш,Детские товары | Детские товары | Детские товары,P0030 | P0071 | P0077,15.7 | 15.7 | 15.7,5,10.4,
cat adult,Store C,open,Pet food intent,ok,Корм для кошек сухой adult «CatCraft» 15 | Корм для кошек сухой hairball «CatCraft» | Корм для кошек сухой indoor «CatCraft» 4,Зоотовары | Зоотовары | Зоотовары,P0947 | P0103 | P0129,50.9 | 42.1 | 42.1,5,9.4,
dog hypo,Store C,open,Hypoallergenic dog food,ok,Корм для собак гипоаллергенный salmon «D | Корм для собак гипоаллергенный medium «D | Корм для собак гипоаллергенный mini «Dog,Зоотовары | Зоотовары | Зоотовары,P0381 | P0393 | P0425,39.5 | 39.5 | 39.5,5,11.9,
san pelle,Store F,open,Sparkling water brand,ok,Вино игристое sanpellegrino spritz «Pros | Вино игристое sanpellegrino spritz «Pros | Вино игристое sanpellegrino spritz «Mose,Алкоголь | Алкоголь | Алкоголь,P0090 | P0643 | P0971,38.3 | 38.3 | 38.3,3,12.8,
посуд моющ,Store D,open,Abbreviated dish soap,ok,Средство для мытья посуды для детской по | Средство для мытья посуды для детской по | Средство для мытья посуды для детской по,Бытовая химия | Бытовая химия | Бытовая химия,P0367 | P0516 | P0963,41.8 | 41.8 | 41.4,5,12.8,
лампа led е27,Store E,open,Mixed alphabet technical,ok,Лампа LED E27 «Volt» 4шт | Лампа LED E27 «EcoLight» 2шт | Лампа LED E27 «Volt» 4шт,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0496 | P0609 | P0930,117.3 | 117.3 | 117.3,5,15.0,
мешки 120л,Store D,open,Trash bags with volume,ok,,,,,0,12.2,
круп греч,Store C,open,Abbreviated grocery,ok,Крупа гречневая ядрица «Русская крупа» 1 | Крупа гречневая ядрица «Русская крупа» 9 | Крупа гречневая organic «Русская крупа» ,Бакалея | Бакалея | Бакалея,P0007 | P0132 | P0161,50.8 | 50.8 | 50.8,5,12.9,
рыба фил,Store B,open,Frozen fish block,ok,Рыба минтай блок филе «ChefPro» 5кг | Рыба минтай блок филе «HoReCaFish» 10кг | Рыба минтай блок филе «HoReCaFish» 10кг,Заморозка | Заморозка | Заморозка,P0047 | P0079 | P0349,41.2 | 41.2 | 41.2,5,13.1,
йогурт греческий,Store A,hidden,Full word should still trigger prefix analyzer,ok,Йогурт греческий черника «Mediterran» 14 | Йогурт греческий натуральный «Mykonos» 9 | Йогурт греческий черника «Mediterran» 14,Молочные продукты | Молочные продукты | Молочные продукты,P0012 | P0042 | P0164,45.6 | 45.6 | 45.6,5,33.8,
lay chips,Store B,hidden,English brand typed loosely,ok,Кофе капсулы ristretto «Ristretto Lab» 3 | Кофе капсулы ristretto «Ristretto Lab» 1 | Кофе капсулы latte «Ristretto Lab» 30кап,Кофе и чай | Кофе и чай | Кофе и чай,P0032 | P0035 | P0263,4.7 | 4.7 | 4.7,5,10.4,
масло сливочное крестьян,Store D,hidden,Long tail prefix,ok,Масло сливочное крестьянское «Северное п | Масло сливочное крестьянское «Alpine Mea | Масло сливочное крестьянское «Polar Vall,Молочные продукты | Молочные продукты | Молочные продукты,P0063 | P0351 | P0547,67.5 | 67.5 | 67.5,5,38.1,
санпел,Store F,hidden,Aggressive truncation,ok,,,,,0,14.7,
xfqyfz сервиз,Store E,hidden,Mixed layout + second word,ok,,,,,0,24.6,
cheddar 5kg,Store C,hidden,B2B cheese,ok,Сыр чеддер mature «Cheddar Club» 5кг | Сыр чеддер mild «Cheddar Club» 5кг | Сыр чеддер mild «Cheddar Club» 5кг,Сыры | Сыры | Сыры,P0177 | P0470 | P0651,51.7 | 51.7 | 51.7,5,23.1,
fris cat adult,Store C,hidden,Pet food brand,ok,Корм для кошек сухой lamb «FrisCat» 1500 | Корм для кошек сухой indoor «FrisCat» 40 | Корм для кошек сухой lamb «FrisCat» 10кг,Зоотовары | Зоотовары | Зоотовары,P0188 | P0280 | P0977,61.3 | 61.3 | 61.3,5,11.5,
прокладки ночные,Store D,hidden,Hygiene category,ok,Подгузники детские ночные «PampKids» 96ш | Подгузники детские ночные «EcoBaby» 96шт | Подгузники детские ночные «Huggsy» 40шт,Детские товары | Детские товары | Детские товары,P0131 | P0252 | P0311,11.1 | 11.1 | 11.1,4,30.3,
масло растительное horeca,Store C,hidden,Industry keyword,ok,Масло подсолнечное для HoReCa «ChefPro»  | Масло подсолнечное для HoReCa «Helio» 50 | Масло подсолнечное для HoReCa «Южное» 50,Бакалея | Бакалея | Бакалея,P0238 | P0281 | P0423,52.2 | 52.2 | 52.2,5,36.9,
филе индейки 5кг,Store A,hidden,Bulk poultry,ok,Филе грудки индейки HoReCa «FarmLine» 5к | Филе грудки индейки охлажденное «Protein | Филе грудки индейки охлажденное «Protein,Мясо и птица | Мясо и птица | Мясо и птица,P0004 | P0288 | P0746,60.9 | 60.9 | 60.9,5,15.3,
памперсы размер 3 night,Store D,hidden,Mixed language,ok,Подгузники детские размер 3 «EcoBaby» 32 | Подгузники детские размер 3 «EcoBaby» 60 | Подгузники детские размер 2 «PampKids» 3,Детские товары | Детские товары | Детские товары,P0682 | P0144 | P0300,106.7 | 101.9 | 90.1,5,18.9,
adapter type c gan,Store E,hidden,Technical spec,ok,Адаптер USB-C gan «ChargeLab» 1шт | Адаптер USB-C gan «ChargeLab» 1шт | Адаптер USB-C gan «VoltEdge» 1шт,Электроника | Электроника | Электроника,P0695 | P0946 | P0072,48.1 | 48.1 | 46.6,5,19.1,
power bank wireless,Store E,hidden,Accessory variant,ok,Power Bank wireless «HyperCell» 1шт | Power Bank wireless «VoltEdge» 1шт | Power Bank wireless «VoltEdge» 1шт,Электроника | Электроника | Электроника,P0100 | P0316 | P0433,81.2 | 81.2 | 81.2,5,20.9,
riesling mosel 1.5l,Store F,hidden,Numeric suffix,ok,,,,,0,21.7,
prosc ros,Store F,hidden,Severely truncated,ok,Масло подсолнечное для HoReCa «Rosa» 300 | Масло подсолнечное premium «Rosa» 10000м | Масло подсолнечное premium «Rosa» 500мл,Бакалея | Бакалея | Бакалея,P0444 | P0491 | P0824,14.0 | 14.0 | 14.0,3,9.7,
джин гараж грейп,Store F,hidden,Cyrillic spelling of foreign brand,ok,Джин премиальный grapefruit «Nordic Gin» | Джин премиальный grapefruit «Nordic Gin» | Джин премиальный grapefruit «Garage Barr,Алкоголь | Алкоголь | Алкоголь,P0083 | P0095 | P0560,38.0 | 38.0 | 38.0,5,13.0,
витамины иммунитет,Store B,hidden,Health vertical,ok,Витаминный комплекс иммунитет «DailyVits | Витаминный комплекс иммунитет «Immuno+»  | Витаминный комплекс иммунитет «Immuno+» ,Аптека | Аптека | Аптека,P0040 | P0266 | P0519,27.7 | 27.7 | 27.7,5,35.9,
маска для волос ker,Store B,hidden,Mixed Latin/Cyrillic,ok,Средство для мытья посуды для детской по | Средство для мытья посуды для детской по | Средство для мытья посуды для детской по,Бытовая химия | Бытовая химия | Бытовая химия,P0367 | P0516 | P0963,21.2 | 21.2 | 20.9,4,14.8,
лампа led smart,Store E,hidden,Smart home variant,ok,Лампа LED smart «BrightHome» 1шт | Лампа LED smart «EcoLight» 1шт | Лампа LED E27 «Volt» 4шт,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0189 | P0965 | P0496,128.2 | 128.2 | 117.3,5,13.5,
trash bags 30l,Store D,hidden,English units,ok,Пакеты для мусора 60л «StrongHold» 30шт | Пакеты для мусора 120л «CleanUp» 30шт | Пакеты для мусора с завязками «DailyFix»,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0005 | P0216 | P0630,28.6 | 28.6 | 28.6,4,12.9,
cle an dish,Store D,hidden,Spacing noise,ok,Средство для мытья посуды professional « | Средство для мытья посуды professional « | Средство для мытья посуды эко «Clean&Shi,Бытовая химия | Бытовая химия | Бытовая химия,P0107 | P0114 | P0397,32.7 | 32.7 | 32.7,4,11.2,
гель для душа sensitive,Store B,hidden,Mixed languages,ok,Гель для душа sensitive «Sense» 250мл | Гель для душа sensitive «AquaVera» 250мл | Гель для душа цитрус «Sense» 750мл,Косметика и гигиена | Косметика и гигиена | Косметика и гигиена,P0121 | P0990 | P0034,91.2 | 91.2 | 71.2,5,22.3,
puree mango,Store D,hidden,Baby food in Latin,ok,Пюре фруктовое злаки «Фрутти» 120г | Пюре фруктовое тыква «FruitGo» 120г | Пюре фруктовое без сахара «Фрутти» 100г,Детские товары | Детские товары | Детские товары,P0142 | P0744 | P0753,15.9 | 15.9 | 15.9,5,9.8,
cat indoor steril,Store C,hidden,Foreign descriptor,ok,Корм для кошек сухой indoor «CatCraft» 4 | Корм для кошек сухой indoor «CatCraft» 4 | Корм для кошек сухой indoor «NordPet» 5к,Зоотовары | Зоотовары | Зоотовары,P0129 | P0703 | P0167,84.6 | 84.6 | 59.4,5,25.0,
dog hypo salmon,Store C,hidden,Attribute-rich,ok,Корм для собак гипоаллергенный salmon «D | Корм для собак гипоаллергенный salmon «D | Корм для собак гипоаллергенный medium «D,Зоотовары | Зоотовары | Зоотовары,P0381 | P0493 | P0393,60.3 | 60.3 | 50.2,5,20.0,
energy drink zero,Store E,hidden,English intent,ok,Энергетический напиток zero «Litl Energy | Энергетический напиток citrus «Litl Ener | Энергетический напиток citrus «Litl Ener,Напитки | Напитки | Напитки,P0020 | P0385 | P0458,63.6 | 53.2 | 53.2,5,19.0,
сахар меш 25,Store C,hidden,Numeric B2B,ok,Сахар-песок меш 25кг «HoReCa» 1000г | Сахар-песок меш 25кг «SweetLand» 10кг | Сахар-песок меш 25кг «SweetLand» 900г,Бакалея | Бакалея | Бакалея,P0160 | P0186 | P0240,84.0 | 84.0 | 84.0,5,11.6,
teabag herbal detox,Store A,hidden,English tea,ok,Шампунь питательный men «Herbal Line» 25 | Шампунь питательный гладкость «Herbal Li | Шампунь питательный men «Herbal Line» 50,Косметика и гигиена | Косметика и гигиена | Косметика и гигиена,P0088 | P0359 | P0622,43.2 | 43.2 | 43.2,5,26.2,
сыр моцарелла 2 кг,Store C,hidden,Full words but should be in scope,ok,Сыр гауда кусок «ChefPro» 2кг | Сыр гауда для сендвичей «Cheese&Co» 2кг | Сыр гауда для сендвичей «Nordic Cheese» ,Сыры | Сыры | Сыры,P0492 | P0215 | P0751,45.5 | 44.0 | 44.0,3,30.0,
gloves nitrile m,Store D,hidden,Protective equipment,ok,Перчатки одноразовые m «Medico» 200шт | Перчатки одноразовые m «SafeTouch» 100шт | Перчатки одноразовые латекс «Medico» 200,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0286 | P0535 | P0184,27.6 | 27.6 | 21.4,5,32.4,
